ARTIFACT_NAME,DESCRIPTION,
NFR-IMP Implementación,,IMP
NFR-IMP Implementación,"Frameworks, Lenguaje programación, RBMS Triggers",IMP
NFR-IMP-001 Aplicación web responsiva,"Mobile first
",IMP
NFR-INT Interfaces,"Web Service, RESP, GraphQL, Formatos de archivo, Protocolos",INT
NFR-PER-ACCU Exactitud,,PER
NFR-PER-AVA Disponibilidad,La aplicación debe estar disponible 24/7.,PER
NFR-PER-EFF Eficiencia,,PER
NFR-PER-RCT Tiempo de recuperación,,PER
NFR-PER-RSP Tiempo de respuesta,,PER
NFR-PER-RSU Uso de recursos,,PER
NFR-PER-SPD Velocidad,,PER
NFR-PER-THR Rendimiento,,PER
NFR-PHY Hardware,,PHY
NFR-REL-ACC Exactitud,Grado de precisión de cálculos.,REL
NFR-REL-FRF Frecuencia de fallos,,REL
NFR-REL-MTBF,Mean Time Between Failure,REL
NFR-REL-PRE Predictibilidad,,REL
NFR-REL-REC Recuperabilidad,,REL
NFR-REL-SVF Severidad de fallos,,REL
NFR-SEC Authenticación,"OAuth, LDAP, 2FA",SEC
NFR-SUP-ADP Adaptabilidad,,SUP
NFR-SUP-CNF Configurabilidad,"Contraseñas, Tokens, IDs",SUP
NFR-SUP-COM Compatibilidad,"Web, Cliente, Sistema operativo, Servidor de aplicaciones",SUP
NFR-SUP-EXT Extensibilidad,"Manejo de nuevos tipos de datos, protocolos, Entidades de negocio nuevas.",SUP
NFR-SUP-INS Instalabilidad,,SUP
NFR-SUP-LOC Localización,Localización (L10N) e Internacionalización (I18N),SUP
NFR-SUP-MAI Mantenibilidad,"Estándares de diseño, de codificación, mejores prácticas.",SUP
NFR-SUP-SCA Escalabilidad,Número de usuarios esperados.,SUP
NFR-SUP-SRV Servicio,,SUP
NFR-SUP-TST Facilidad de pruebas,"TDD, Mocks",SUP
NFR-USA-AES Estética,Imágen corporativa,USA
NFR-USA-CHP Ayuda en contexto,,USA
NFR-USA-DOC Documentación de usuario,Manuales de uso,USA
NFR-USA-HFA Factores humanos,,USA
NFR-USA-TRA Material de entrenamiento,,USA
NFR-USA-UIC Consistencia UI,Diseño de pantallas,USA
NFR-USA-WIZ Asistentes,"Popups, Chatbot",USA
OOS-005 Administración de Proveedores,"Catálogo de Proveedores de suministros para mantenimiento.
Catálogo de Proveedores que realizan mantenimiento.",005
OOS-100 Manual de la máquina,"Almacenamiento y Control de los manuales de las maquinarias.
Control de existencias.
Control de préstamos.
Digitalización del manual.",100
OOS-101 Administración de usuarios,"Registro de usuarios.
Control de acceso a módulos.
¿Existe ya un registro de Usuarios al que se pueda acceder?",101
OOS-102 Administración de Localidades,"CRUD de localidades.
Asignación de Localidad a una máquina.",102
OOS-103 Inventario de refacciones,"Mantener un inventario de refacciones, implementos requeridos para un mantenimiento.",103
OOS-104 Administración de Proveedores,"Proveedor que vendió/Rentó la máquina.
Catálogo de Proveedores de suministros para mantenimiento.
Catálogo de Proveedores que realizan mantenimiento.",104
OOS-105 Solicitud de mantenimiento correctivo,¿Administrar solicitudes de mantenimiento correctivo?,105
